iter	Passed	Remaining
878	2592	356
879	2595	353
880	2598	350
881	2601	348
882	2604	345
883	2607	342
884	2610	339
885	2613	336
886	2616	333
887	2619	330
888	2622	327
889	2624	324
890	2627	321
891	2630	318
892	2632	315
893	2635	312
894	2638	309
895	2641	306
896	2644	303
897	2646	300
898	2649	297
899	2652	294
900	2655	291
901	2657	288
902	2661	285
903	2664	283
904	2667	280
905	2671	277
906	2674	274
907	2677	271
908	2680	268
909	2682	265
910	2685	262
911	2688	259
912	2691	256
913	2693	253
914	2697	250
915	2700	247
916	2704	244
917	2706	241
918	2709	238
919	2712	235
920	2715	232
921	2718	229
922	2721	227
923	2724	224
924	2727	221
925	2731	218
926	2734	215
927	2736	212
928	2740	209
929	2742	206
930	2745	203
931	2748	200
932	2751	197
933	2754	194
934	2756	191
935	2759	188
936	2762	185
937	2765	182
938	2767	179
939	2770	176
940	2774	173
941	2777	171
942	2780	168
943	2782	165
944	2785	162
945	2788	159
946	2791	156
947	2795	153
948	2797	150
949	2800	147
950	2803	144
951	2806	141
952	2809	138
953	2811	135
954	2814	132
955	2817	129
956	2820	126
957	2823	123
958	2826	120
959	2828	117
960	2831	114
961	2834	111
962	2837	109
963	2841	106
964	2843	103
965	2846	100
966	2849	97
967	2851	94
968	2854	91
969	2857	88
970	2860	85
971	2863	82
972	2866	79
973	2868	76
974	2871	73
975	2874	70
976	2877	67
977	2879	64
978	2882	61
979	2885	58
980	2887	55
981	2890	52
982	2893	50
983	2896	47
984	2899	44
985	2902	41
986	2904	38
987	2907	35
988	2910	32
989	2913	29
990	2916	26
991	2918	23
992	2921	20
993	2924	17
994	2926	14
995	2929	11
996	2932	8
997	2935	5
998	2937	2
999	2940	0
